Date,AWS,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24,R25
2017-07-02 01:30,0.1,0.6,0.4,0.4,4,12,0.6,0.4,3,6,10,0.4,1.5,4,5,14,0.8,3,14,25,25,0.8,3,14,14,18
2017-07-02 01:40,0.05,0.1,1,1,7,16,0.2,0.4,1.5,7,16,0.2,0.4,3,8,25,0.2,0.8,8,14,20,0.4,1.5,6,14,18
2017-07-02 01:50,1.05,0.2,2,12,16,20,1,4,9,14,18,1,5,20,30,25,1.5,6,16,25,30,1.5,10,20,25,25
2017-07-02 02:00,0.65,10,16,25,30,50,20,25,35,40,30,6,16,20,35,25,6,20,25,25,25,3,12,30,25,20
2017-07-02 02:10,0.1,16,20,40,10,9,8,12,16,12,10,16,25,14,18,14,40,25,40,20,16,50,35,30,18,8
2017-07-02 02:20,0,9,10,7,3,3,20,20,4,1.5,5,12,9,2,2,2,30,10,5,2,25,50,10,5,14,25
2017-07-02 02:30,0,7,3,1.5,0.8,0.4,12,3,6,8,3,9,5,4,5,4,9,5,20,25,3,18,9,10,12,10
2017-07-02 02:40,0.05,1,1.5,1,1,2,2,2,2,2,2,4,3,1.5,2,9,5,2,3,1,1,7,6,9,8,7
2017-07-02 02:50,0,0.2,0.1,0.1,0.1,0.2,0.1,0.2,0.2,0.2,0.2,0.6,0.2,0.2,0.2,0.6,2,0.6,0.6,0.6,0.6,0.8,0.4,2,1,1
2017-07-02 03:00,0,0.8,0,0,0,0.2,0,0,0,0,0.1,0,0.1,0.2,0.4,0.4,0,0.2,0.4,0.6,0.8,0,0,0.2,0.2,0.6
2017-07-02 03:10,0.05,1,0,0,0,0,0,0,0,0,0,0.8,0.4,0,0.1,0,3,2,0.4,0,0,6,6,4,0.6,0
2017-07-02 03:20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-02 03:30,0,0.1,1,1.5,1.5,4,0,0.2,0.4,0.2,1,1.5,0,0,0,0,3,1,0,0,0,0.2,0.6,0,0,0
2017-07-02 03:40,0,9,12,12,4,3,3,4,12,4,3,1.5,3,7,8,3,1,4,5,9,1,0.4,0.8,2,5,1.5
2017-07-02 03:50,0.05,4,4,6,4,5,2,5,3,4,4,10,6,3,3,4,20,7,4,4,10,10,7,4,3,5
2017-07-02 04:00,0.05,20,10,9,5,5,12,8,8,7,4,3,9,8,7,6,5,9,8,5,7,5,7,6,6,6
2017-07-02 04:10,0.05,6,6,5,6,7,3,4,4,4,4,4,4,3,3,3,6,5,2,2,3,4,2,2,2,2
2017-07-02 04:20,0.05,6,5,5,4,3,7,5,4,4,8,7,5,8,6,5,7,5,6,4,5,7,4,4,6,6
2017-07-02 04:30,0,2,1.5,0.8,0.8,1,1.5,1,0.8,1,0.6,2,1.5,1,1.5,0.8,3,2,1.5,0.8,0.6,3,2,1.5,1,1
2017-07-02 04:40,0,0.6,0.4,2,1.5,0.2,0.8,0.4,1.5,0.4,0.2,1,0.4,0.6,0.4,0.4,0.6,0.4,1,0.4,0.4,0.4,0.8,0.8,0.6,0.6
2017-07-02 04:50,0,0.4,0.6,0.4,0.4,0.6,1,0.2,0.4,0.2,0.4,0.8,0.2,0.1,0.2,0.2,0.4,0.6,0.2,0.2,0.4,0.2,0.6,0.6,0.2,0.1
2017-07-02 05:00,0,0.8,0.8,0.6,0.6,1,0.8,0.8,1,1,1,0.6,0.4,0.6,0.6,0.4,0.6,0.8,0.8,0.4,0.4,0.8,0.8,0.4,0.4,0.4
2017-07-02 05:10,0,1,1,0.8,0.8,0.6,1,1,1,0.8,0.6,1,1,0.8,1,1,1.5,1,1,1,1,1,1,1,0.8,1
2017-07-02 05:20,0,0.8,0.8,0.8,0.8,0.6,0.6,0.6,1,0.6,0.4,0.6,0.6,0.4,0.4,0.4,0.6,0.4,0.6,0.4,0.2,1,0.6,0.6,0.4,0.2
2017-07-02 05:30,0,0.6,0.4,0.6,0.4,0.6,0.6,0.8,0.6,0.4,0.6,0.8,0.6,0.4,0.4,0.4,1,0.6,0.4,0.6,1,1,0.6,0.4,0.4,0.8
2017-07-02 05:40,0,0.6,0.4,0.4,0.2,0.2,0.4,0.4,0.4,0.2,0.4,0.6,0.4,0.4,0.2,0.2,0.6,0.6,0.6,0.2,0.2,0.8,0.8,0.6,0.4,0.2
2017-07-02 05:50,0,0.6,0.2,0.2,0.4,0.2,0.2,0.2,0.2,0.4,0.4,0.2,0.4,0.2,0.4,0.4,0.6,0.4,0.2,0.4,0.2,0.2,0.4,0.4,0.2,0.2
2017-07-02 06:00,0,0.6,0.6,0.4,0.6,0.6,0.6,0.2,0.2,0.2,0.4,0.4,0.2,0.1,0.2,0.6,0.4,0.1,0.1,0.4,0.2,0.2,0.2,0.2,0.2,0.2
2017-07-02 06:10,0,0,0,0,0,0,0.2,0,0,0,0,0.2,0.1,0,0,0,0.2,0.1,0,0,0,0.1,0,0,0,0
2017-07-02 06:20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-02 06:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-02 06:40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-02 06:50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-02 07:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-02 07:10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-02 07:20,0,0.1,0.1,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-02 07:30,0,0.2,0.2,0.2,0,0,0.2,0.2,0.1,0,0,0.2,0.1,0.1,0,0,0.2,0.1,0,0,0,0.1,0.1,0,0,0
2017-07-02 07:40,0,0.8,0.6,0.6,0.2,0.4,0.4,0.6,0.4,0.2,0.4,0.4,0.2,0.4,0.2,0.2,0.4,0.2,0.2,0.1,0.1,0.2,0.2,0.1,0,0
2017-07-02 07:50,0,0.2,0.1,0,0,0,0.2,0.1,0.1,0,0,0.2,0.2,0.1,0,0,0.2,0.2,0.2,0,0,0.4,0.2,0.2,0.1,0.1
2017-07-02 08:00,0,0,0,0,0.2,0.8,0,0,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-02 08:10,0.05,0,0,2,10,4,0,0,100,30,3,0,0,6,30,2,0,0.8,3,10,3,0,0,0.4,1.5,3
2017-07-02 08:20,0,16,20,12,2,1.5,16,30,16,7,3,8,14,16,2,0.4,18,20,7,4,0.8,25,14,6,5,2
2017-07-02 08:30,0,20,18,12,10,14,30,14,5,8,25,35,14,3,8,18,30,10,2,14,20,25,9,9,6,10
2017-07-02 08:40,0,25,12,5,1,2,30,5,2,0.8,1,20,5,1.5,0.2,0,9,3,0.2,0,0,7,2,0.4,0.2,0
2017-07-02 08:50,0,20,16,14,16,5,25,25,6,14,3,9,12,12,2,1.5,20,18,30,1.5,2,14,20,20,14,0.6
2017-07-02 09:00,0,6,30,5,0.8,1,5,18,5,1.5,0.8,20,3,6,1.5,0.8,4,4,10,1,0.2,5,7,2,0.8,0.8
2017-07-02 09:10,0,1,14,3,1,0.2,8,8,4,1,0.1,12,10,9,0.2,1,70,18,6,0.6,5,25,6,3,2,14
2017-07-02 09:20,0,0.4,0.1,0.1,0.1,0.2,1,0.8,0.1,0.1,0.2,2,1,0.4,0.1,0.4,3,0.8,0.4,0.4,0.6,6,2,0.2,0.4,0.6
2017-07-02 09:30,0,0,0,0,0,0,0,0,0,0,0,0.2,0.1,0,0,0,1,0.1,0,0,0,0.8,0.1,0,0,0
2017-07-02 09:40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0
2017-07-02 09:50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-02 10:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0
2017-07-02 10:10,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0.2,0,0,0.1,0.2,0.6
2017-07-02 10:20,0,0,0,0,0.1,0.2,0,0,0,0.1,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-02 10:30,0.1,0,0,0,0.2,0.8,0,0,0.4,1,2,0,0,2,5,5,0,0.1,2,2,2,0,0,0.2,0.1,1.5
2017-07-02 10:40,0.1,0,0,0.4,3,9,0,0.4,1,6,14,0,0.4,2,5,12,0,0.2,4,7,14,0.1,1.5,5,10,16
2017-07-02 10:50,0.2,0.4,0.6,0.4,0.4,1.5,0.2,0.4,0.4,0.6,6,0.2,0.2,6,12,12,0.4,3,20,40,50,0.8,7,25,30,35
2017-07-02 11:00,0,0,0.1,0,0,0.6,0.2,0,0.2,0.6,1,0,0.4,0.4,1.5,2,0.2,0.8,3,6,14,0.6,5,12,16,30
2017-07-02 11:10,0.1,0,0,0.2,0.2,1.5,0,0,0,0,1.5,0,0,0,0.1,16,0,0,0,2,4,0,0,3,6,6
2017-07-02 11:20,0.05,0,0,0,0,0,0,0,0,0.6,0.2,0,0,0.4,2,0.4,0,0,0.8,5,6,0,0,6,25,8
2017-07-02 11:30,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0.2,0,1,0.4,0.8,1,1,2,3,4,2
2017-07-02 11:40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1
2017-07-02 11:50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-02 12:00,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-02 12:10,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-02 12:20,0,0,0,0.2,0,0,0.8,0.4,0.2,0,0,1.5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-02 12:30,0,0.8,0,0.2,0,0,0.8,0.6,0.2,0,0,1,0.6,0,0,0,0.8,0,0,0,0,1,0.1,0,0,0
2017-07-02 12:40,0,0,0,4,3,0,0,0,1,0,0,0,0,0.2,0,0,0,0,0,0,0,0.1,0,0,0,0
2017-07-02 12:50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-02 13:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-02 13:10,0,2,14,1.5,1.5,0.1,0.6,1.5,3,0.4,0.1,0.6,0.4,2,2,1.5,0.2,0.4,1,1.5,1.5,0.1,0,0.1,0.8,0.1
2017-07-02 13:20,0,0,0,0.8,0.4,0.1,0.4,1.5,1,0.2,0.4,3,2,0.4,0.2,0.2,2,0.6,0.6,0.6,0.6,2,1,0.1,0.2,0.8
2017-07-02 13:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.2,0,1.5,0.6,1,0.2,0,1,0.2
2017-07-02 13:40,0,0.8,0.8,0.4,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-02 13:50,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-02 14:00,0,0,0,0,0,0,0.6,0.2,0,0,0,0.2,0.2,0.2,0.1,0,0.2,0.2,0.2,0,0,0,0,0,0,0
2017-07-02 14:10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-02 14:20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-02 14:30,0,0,0,0,0.4,5,0,0,0,0.8,7,0,0,0,1.5,2,0,0,0,1.5,0.6,0,0,0,0.2,0.6
2017-07-02 14:40,0,0,0,0,1,0.6,0,0,0.4,7,0.6,0,0,0.6,4,0.4,0,0.1,4,3,0.8,0,0.4,2,0.2,0.2
2017-07-02 14:50,0,0,0,0,0,0,0,0,0.2,0.1,0,1,0.6,0.2,0,0,0.2,0.1,0.1,0,0,0,0,0,0,0
2017-07-02 15:00,0,0.1,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-02 15:10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-02 15:20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-02 15:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-02 15:40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-02 15:50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-02 16:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-02 16:10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-02 16:20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-02 16:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-02 16:40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-02 16:50,0,0,0,0,0.1,0.1,0,0,0,0,0.1,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0
2017-07-02 17:00,0,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.4,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0,0,0.1,0.2,0.4
2017-07-02 17:10,0,0,0,0,0.4,0,0,0,0.1,1,1,0,0.6,0.6,1,0.6,0.2,1,1,0.6,0.4,0.2,0.4,0.6,0.6,0.4
2017-07-02 17:20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.1
2017-07-02 17:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-02 17:40,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-02 17:50,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0.1,0.1,0,0,0.2,0.2,0.1,0.1,0.2,0.2,0.1,0.2
2017-07-02 18:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0,0,0.1,0.2,0,0,0,0,0
2017-07-02 18:10,0,0,0,0,0,0,0,0,0.1,0,0,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0,0.2,0,0
2017-07-02 18:20,0,0.2,0.2,0.1,0.1,0,0.2,0.1,0,0,0,0.1,0,0,0,0,0.4,0.4,0,0,0,0.6,0.1,0,0,0
2017-07-02 18:30,0.05,0.4,0.2,0.1,0.1,0,0.2,0.2,0.2,0,0,0.2,0.2,0.1,0,0,0.2,0.2,0.1,0,0,0.2,0.2,0.2,0,0
2017-07-02 18:40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0
2017-07-02 18:50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-02 19:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-02 19:10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-02 19:20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-02 19:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0
2017-07-02 19:40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-02 19:50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-02 20:00,0,0.1,0.2,0.4,1.5,0.4,0.1,0.1,0.2,4,0.2,0.1,0.2,0.2,0.4,0.1,0,0,0.1,0.2,0.8,0,0,0.1,0.2,1.5
2017-07-02 20:10,0,0.6,0.6,0.6,0.8,1.5,1,0.8,1,1.5,4,0.4,0.2,0.4,1,3,0.2,0.2,0.4,0.4,0.6,0.6,3,2,0.6,0.8
2017-07-02 20:20,0,5,1.5,4,7,6,4,12,14,4,8,3,12,1.5,2,4,0.8,0.8,6,18,18,0.6,7,12,20,30
2017-07-02 20:30,0.2,25,30,25,50,16,16,30,25,20,12,18,10,10,6,10,8,12,5,16,12,10,14,18,30,30
2017-07-02 20:40,0.7,20,18,25,30,35,25,16,25,35,40,25,20,25,40,25,25,30,35,40,40,35,35,40,30,30
2017-07-02 20:50,0.15,5,4,5,7,8,4,8,20,20,14,8,25,30,20,16,16,25,20,20,16,40,50,60,50,35
2017-07-02 21:00,0.2,3,2,1.5,2,4,3,2,3,5,6,4,4,6,6,8,5,10,18,10,9,6,25,35,25,20
2017-07-02 21:10,0,1,1,1.5,1.5,1,1.5,1,0.6,0.6,0.6,1,1.5,0.4,0.4,0.6,2,1,1,1,1.5,4,3,3,14,20
2017-07-02 21:20,0,1,1.5,1.5,1.5,6,0.8,0.8,1,3,5,0.2,0.4,0.4,0.8,1,0.2,0.1,0.1,0.4,1.5,0.2,0.2,0.8,2,8
2017-07-02 21:30,0.05,0.8,1,1,1.5,4,1,1.5,1.5,5,10,0.8,1.5,3,5,10,1.5,1.5,4,7,7,1.5,2,3,3,3
2017-07-02 21:40,0.05,1.5,2,3,4,3,2,2,3,3,4,1.5,1.5,2,2,8,1.5,2,7,12,12,1,4,8,9,8
2017-07-02 21:50,0.1,1,1.5,2,3,4,1.5,2,5,7,6,2,3,7,9,8,2,5,6,7,7,3,3,4,3,2
2017-07-02 22:00,0.4,5,7,14,20,25,3,8,20,30,70,2,6,14,20,20,3,10,16,20,18,4,16,20,35,20
2017-07-02 22:10,0.1,12,10,12,12,10,10,10,10,10,9,8,12,12,7,9,14,14,10,12,9,18,20,10,10,6
2017-07-02 22:20,0.1,6,14,14,8,7,10,8,8,5,6,20,8,5,5,5,12,6,12,12,7,8,12,10,8,9
2017-07-02 22:30,0.15,8,5,5,9,9,14,10,9,12,7,20,7,9,12,9,7,9,12,12,10,7,9,12,16,8
2017-07-02 22:40,0.15,35,30,30,60,12,30,18,14,8,10,18,20,14,14,30,18,16,8,18,20,8,6,2,7,10
2017-07-02 22:50,0,20,16,8,4,3,16,7,3,2,1.5,12,6,5,3,1.5,10,10,7,5,2,18,10,10,4,2
2017-07-02 23:00,0.1,4,3,4,4,3,4,3,5,4,3,5,3,2,3,2,4,3,2,5,7,5,4,2,2,12
2017-07-02 23:10,0,6,5,8,9,6,5,5,5,6,4,4,4,5,5,3,4,4,4,3,2,4,3,2,2,1.5
2017-07-02 23:20,0.2,12,8,8,16,16,16,10,12,14,16,12,10,9,9,4,9,10,10,6,4,9,10,7,5,5
2017-07-02 23:30,0.55,25,40,50,20,20,30,30,30,10,20,25,25,25,10,14,12,16,8,12,35,25,20,8,25,25
2017-07-02 23:40,0.35,30,30,30,40,40,40,50,40,50,40,40,35,35,35,60,70,60,35,60,25,40,50,35,40,6
